Tweet;Creation_date;Name;User;location;retweets;favorites;friends_count;followers_count;Classification
Tamanduá-bandeira é encontrado por populares em bairro de Campo Grande https://t.co/X2HblQnuyR;Jornal Dourados News;douradosnews;27/11/2020 17:52;Dourados - Mato Grosso do Sul;1;0;140;1294;1
Eu até ia escutar a poesia acústica 78 mas tenho q ir traficar arara azul e tamanduá bandeira no centro da cidade🙏🏻;Monnerat;ngeloRivas3;27/11/2020 16:24;Aracaju, Brazil;0;3;387;149;-1
Polícia Militar Ambiental de Campo Grande captura tamanduá-bandeira em terreno no bairro Monte Castelo https://t.co/nnw4BhK6Cb;Polícia Militar de Mato Grosso do Sul;pmmsoficial;27/11/2020 16:07;Mato Grosso do Sul, Brasil;0;0;0;123;1
@FizzSENAI chama ela de tamanduá bandeira! quero ver n ficar feliz dskjdjaskldkjlasjkdas;Nevir;neviryas;27/11/2020 15:22;;0;0;629;151;0
@gui_pinheiro @cintchacaralha Olha, por mim ele pode ser até um tamanduá-bandeira, desde que bem longe.;Juliana Teixeira;nanamelon;27/11/2020 14:51;São Paulo;0;2;2457;7225;-1
@ItsBritharmony é um belo Tamanduá-bandeira!;Mochileiro;Dominatodos;27/11/2020 10:42;;0;0;31;13;1
@GarimpeiroGeo Tamanduá bandeira mata até onça adulta;Joaoluizpp1🇨🇳=☠️;joaoluizpp1;27/11/2020 00:34;;0;2;566;233;0
"@V55638 @GarimpeiroGeo E esse aí é um tamanduá mirim, se fosse o bandeira o dog não dava nem pro cheiro.
Se vc tiver no mato e topar com um bandeira, pode correr sem olhar pra trás, se o bicho te pegar já era";Levy 🇧🇷🥛🥚 (Quinta Conta);Levydourado38;27/11/2020 00:25;;1;5;306;2919;0
aproveita essa black friday pega uma arara azul e um tamandua bandeira estorei a boa;guga;_guuga;27/11/2020 00:15;zona norte boa sorte;0;0;315;581;-1
E NEM É UM TAMANDUÁ!! É SÓ UMA Bosta de um lapixó!! Um MELETINHA VÉI!! FOSSE UM TAMANDUÁ-BANDEIRA DE RESPONSA NELE TAVA fudido!!kkkkk https://t.co/Ill6YYFb2F;PequiGeo;GarimpeiroGeo;27/11/2020 00:13;;3;45;709;6073;#N/A
@pedronsei vi o show deles no bananada mas eu já tava mais bebado q um tamanduá bandeira tendi nada kkkkkkkk;augusto;augusttovieira;26/11/2020 21:57;Goiânia/GO;0;1;995;6280;0
"@PedroNerde123 Tamanduá bandeira

(Antes q vc pergunte,usei o nick ao invés do nome)";Tio Spidey;_TioSpidey;26/11/2020 21:05;Tio Spidey#7777;0;2;768;231;0
"@loko_crf @kk_crvg1 @betomiranda @maurocezar Além disso os impedimentos eram nítidos 
Tanto com o Fla quanto com o Racing
Até um tamanduá bandeira saberia q o cara n tava falando disso
Vc q fingiu demência pra ganhar like";ka ⚫⚪;morgz_z;26/11/2020 13:59;aonde vc quiser rodrigo;0;0;863;7062;0
@ronchixs A ent vc gosta de cuidar de animais? Prazer tamanduá bandeira;Sasa;samiassiq;26/11/2020 13:36;;0;1;95;65;0
O amigo do amigo lutou com um tamanduá bandeira? https://t.co/5OwodIw2hD;Vitória;vitoriarun;26/11/2020 09:23;Porto, Portugal;0;1;384;927;0
"O arjumento que eu mais gosto da direita é que o PSDB é um partido de centro esquerda porque chama ""Partido da Social Democracia Brasileira"". Por essa lógica, temos que o peixe-boi é um boi, o cavalo-marinho é um cavalo e o tamanduá bandeira é uma bandeira ¯\_(ツ)_/¯";pinscher anticapitalista com Boulos 5️⃣0️⃣;rochabeatriz;26/11/2020 02:36;Brazil;0;2;132;561;0
"@AbrahamWeint Realmente, quem conhecia Diego sabia que ele cheirava mais que tamanduá bandeira com fome.
O que mais me.deixa indignado é esquerdista vir defender a liberação desse veneno.";Piquituchu;Afonsobolcombr;25/11/2020 23:33;;0;0;67;7;0
Brasil Selvagem - Festa do Tamanduá Bandeira. Episódio 2 de 5. https://t.co/kNnoGlpEiA via @YouTube;Ignez Gomes Guimarãe;IgnezGomesGuima;25/11/2020 21:15;Belo Horizonte;0;0;30;27;0
...Mata Atlântica, pântanos, pastagem, floresta tropical temperada, estepes e floresta endêmica da Patagônia. Especialistas da organização lideram a reintrodução de espécies regionalmente ameaçadas ou extintas aos parques, como o puma, o condor andino ou o tamanduá bandeira. https://t.co/SbAcTkZg6W;Waita;waitaong;25/11/2020 19:05;Belo Horizonte, Brasil;0;3;114;502;1
@vitortomasii É mais fácil achar um tamanduá bandeira filhote com olhos azuis a venda na internet do que um Nike Air Force branco 39/40;stevo;egiordanii;25/11/2020 11:04;Criciúma, Brasil;0;0;100;31;0
@tpwksenju t e tamandua bandeira;𝐩𝐚𝐠𝐨𝐝𝐞𝐢𝐫𝐚 𝐩𝐚𝐧𝐬𝐞𝐱𝐮𝐚𝐥;sasukexplicit;25/11/2020 03:13;"""𝐈'𝐦 𝐢𝐧 𝐭𝐡𝐞 𝐡𝐞𝐥𝐥""";0;0;2833;3101;0
Quando eu tiver velhão eu vou ter, um gato amarelo, um husky siberiano, uma coruja cinza, uma preguiça, um chimpanzé e um tamanduá bandeira;Marcos;MfsSblack;25/11/2020 01:52;;0;1;54;12;0
Me pegou pelo pescoço ontem me deixou que nem um tamanduá bandeira, com metadade da língua pra fora akmakakakaks;Nycollas;Reis_nycooo;25/11/2020 01:05;Estância Velha, Brasil;0;0;45;36;0
@_nicolenolte Gata, não sou tamanduá mas to te dando bandeira.;Cantadas De Pedreiro;MOVDCP;24/11/2020 23:50;Canteiro De Obras;0;0;81;694;0
@nicollicarolx parece um tamanduá bandeira;bern;BernardoMilane1;24/11/2020 23:27;Primavera do Leste, Brasil;0;2;132;105;0
"um hobbbit ranger que monta um tamanduá bandeira

esse é muito meu próximo personagem";cleiton;vitor_glayson;24/11/2020 23:02;Macaé, Brasil;0;5;738;843;0
@gaby_oliveiraf nunca vi um tamanduá bandeira de óculos......;pedro;_mossini;24/11/2020 22:04;;0;0;337;413;0
Animais em recuperacao na UFMT - vitimas dos incendios do Pantanal // tamanduã bandeira e filhote de anta https://t.co/lRWB8ArkGL;pedro beck;pedrobeck;24/11/2020 19:57;;0;14;894;6977;1
@cabdpe @Gmjao9502 @Lelyf5 @Ankatsune @chartsposbbb20 Fazemos diversas coisas legais e interessantes, apadrinhamos uma família de girafas, um tamanduá bandeira e uma tartaruga do casco mole, animais com perigo de extinção. Fazemos noites de rádio entre nós pra arrecadarmos dinheiro pra instituições, agora estamos ajudando o Amapá.;Mills 🌪️ 👠🦖;bicalho_Mills;24/11/2020 19:05;;0;1;604;490;1
@edbreve Lady gaga, tamanduá bandeira nova iorquino;matheus;tonyhastngs;24/11/2020 18:02;;0;2;144;1936;0
@lucaiosantos10 @danieldesaf ou o tamanduá-bandeira;Lelo;Aeliton9;24/11/2020 17:02;Sergipe, Brasil;0;0;35;14;0
@yupfrancis_ Sabia, foi o meu tamanduá bandeira, ele tava bebendo monster e acabou pegando meu celular;Sapu fds;EhSapu;24/11/2020 15:36;puta que pariu, India;0;1;482;169;0
"Um tatu peba samurai em cima de um carro Celta dirigido por um tamanduá bandeira segurando uma bandeira, fugindo da policia em um fundo estilo vaporwave
 #aseprite  #indie #unity #pixelart #pixelartist #art #pixel #ドット絵 #pixelartday #arte #artist #vaporwave https://t.co/7OvW8X0aGV";Kori;canal_kori;24/11/2020 10:59;Brasil;5;15;177;254;0
@SuperCutieShit Fã base sem criatividade igual o tamanduá bandeira nova iorquino https://t.co/JOAVK808rG;matheus;tonyhastngs;24/11/2020 06:05;;0;0;144;1936;0
@hillaryy27 Não é cmg não, é meu tamanduá Bandeira que te perguntando;Devoto do Veríssimo ¹⁹¹²;MatheussHc14;24/11/2020 05:22;Guarulhos, Brasil;0;1;831;475;0
@NossaCausa Olá @NossaCausa! Somos o @institutojurumi defendemos a conservação da natureza, por meio do tamanduá-bandeira. As pessoas podem #doar para manter nossas atividades e também ajudar desenvolvê-las! #Natureza #DiaDeDoar;Instituto Jurumi;institutojurumi;24/11/2020 02:32;Brasília, Brasil;0;0;420;1602;1
@Lari_Eva ela era tão fofa, laris. ela era peludinha, parecia um tamanduá bandeira, pouco latia, mais uivava e fazia festinha quando a gente chegava. daí cê fazia carinho nela, e ela ficava com a pata na sua mão, pra você não parar. ela era expressiva pra cacete, só faltava falar;Francisca Lero aka g. 击;superieronic;24/11/2020 02:25;São Paulo, Brasil;0;0;652;786;0
Eu to imaginando o Tamanduá-bandeira de pirata!!! #ComedyCentralApresenta;Comedy Central Brasil;ComedyCentralBR;24/11/2020 01:12;;0;6;322;144721;0
"1) Eles pertencem a família Myrmecophagidae, que significa comedor de formigas, por essas serem a base da sua alimentação.

Assim como seu nome popular, que em Tupi significa papa-formigas!

Essa família também inclui o tamanduá-bandeira! https://t.co/Zl32E7Y2Gq";Vida no Zoo 🦒;VidaNoZoo;23/11/2020 23:41;;0;29;356;12808;0
Tamanduá-bandeira é capturado em fazenda de Taquaritinga (SP) https://t.co/s0f1lbyDlC;Jornal Tribuna;TribunaOnline3;23/11/2020 21:34;Taquaritinga, Brasil;0;0;108;98;1
@kurenxiyuhi Linda , parece um tamanduá bandeira;𝓤 ’ 𝑩𝑶𝑹𝑼𝑻𝑶 as Jasmine.;_GL0c;23/11/2020 21:14;Ele / Dele.;0;1;436;313;0
@ibra_dahlstrom Fdc tamandua-bandeira;matheus;silva_matheus87;23/11/2020 20:57;Santos, Brasil;0;0;452;86;-1
@ibra_dahlstrom Bonito é o teu nariz, parecendo um tamandua-bandeira;matheus;silva_matheus87;23/11/2020 20:53;Santos, Brasil;0;0;452;86;0
"@lucas_gorjao @Jorgeotexta @MinariniDavi @guirdsantos_ @FoxSportsBrasil Cara tô cansado de discutir esse bagulho é óbvio q os caras vão falar q foi erro até um tamanduá bandeira entende isso
Se vc n entendeu oq eu disse n vou explicar m vezes";vascalindo ✠;kk_crvg1;23/11/2020 19:19;Rio de Janeiro, Brasil;0;0;1754;1123;0
Se o Boruto é inútil, eu sou um tamanduá-bandeira! https://t.co/t1FkgTZejH;O Junin🔩🥗 // 📺: OP 18/950;Juniin404;23/11/2020 19:17;Aldeia do Calor, País do Sol;0;10;491;482;0
@mxteus777 Minha espécie de andorinha preferida é a andorinha de sobre branco, já a de tamanduá é o tamanduá bandeira;j*;joaoandreetta;23/11/2020 18:12;;0;1;58;309;0
"@oLeo_Barbosa @Son_Deuce @LoLegendsBR Poh, mas não dava pra dar uma caprichada? kkkkkkkkkk
A arte ficou linda, mas em game parece um esfregão em cima de um tamanduá-bandeira";I am alive;coisinhaisback;23/11/2020 17:23;;0;1;385;17;0
@DoentesPFutebol E eu sou um Tamanduá Bandeira!;Estagiário;oestagiario;23/11/2020 17:12;Esporte Interativo;0;180;695;32069;0
@Davi_STZD @auroralterada @WillumpSemFreio @Shigeo278 @SantaVirgemMaD @_LalaLux @LoLegendsBR pra mim eh um tamandua bandeira;kalisto main samira;Kokolisto;23/11/2020 16:17;inferno camada 11;0;4;191;33;0
@_rafinhacamargo @Casimiro @EduardoOrefice2 O @Casimiro me ofereceu  na semana passada 2 ararinhas azuis que estavam na promoção, por isso ganharia de graça um tamanduá bandeira . Esse nerdola quer nos enganar.;Jola;sergio_monello;23/11/2020 14:45;Bauru, Brasil;0;1;113;48;-1
Eu acho que tamanduá bandeira não existe. Não é possível que exista um negócio daqueles. https://t.co/UZTA2GG2Ql;Jscfreitas;jscfreitas;23/11/2020 14:11;;0;6;139;89;0
"- tamanduá bandeira
- carcará
- quero-quero
- capivara
- tilápia (esse vai evoluir)
- alce https://t.co/SdM3MZ2BRO";saia da minha moto meu fi;carlosdsyss;23/11/2020 13:29;Minas Gerais, Brazil;0;1;107;21;0
"Se o nosso mundo fosse como o mundo do Pokémon, minha equipe de animais seria:
- Lobo Guará
- Tigre Branco
- alma-de-gato
- Porco espinho
- Leão
- tamandua bandeira https://t.co/bw0D7K6QtU";Pelooser™ LEIAM FUZZY FUZZION;vampeluso;23/11/2020 13:08;São Paulo;0;0;935;1894;0
"O Tamanduá-Bandeira é um mamífero nativo da América. Ele recebe esse nome uma vez que sua cauda tem forma de uma bandeira.

Em alguns locais do Brasil eles são conhecidos pelos nomes: tamanduá-açu, tamanduá-cavalo, papa-formigas-gigante, urso-formigueiro-gigante, iurumi, https://t.co/nbSeo8U0fo";Kozuki Oden;Golden_D_PunK;23/11/2020 11:06;Sabaody-Barzin-do-bão;0;0;348;168;0
@buscx_ Exatamente, tu no Samsung J2 deve parecer um Tamanduá Bandeira;Ryuk;euryuuk;23/11/2020 03:17;RJ ;0;0;926;189;0
chega domingo eu to um tamanduá bandeira de lerdo;navarro;glhrmnavarro;22/11/2020 23:41;;0;1;32;33;0
@xofaninha0 e quem ta te direcionando, tamandua bandeira da mzr;Mr. M;Matheusogo;22/11/2020 23:17;mustardinhacity;0;1;231;242;0
@silvwirx eu levo o tamandua bandeira😋😋😋;csinha 🐊;neymarzetr;22/11/2020 18:23;;0;0;116;48;0
um tamandua bandeira https://t.co/j8crdq2MGu;𝐟𝐞𝐫𝐫𝐚𝐫𝐢 🥷🏻;pedrooferrarii;22/11/2020 17:49;Belo Horizonte, Brasil;0;0;1124;640;0
Esse tamandua bandeira humanoide realmente se acha um herói https://t.co/PFyScRbiRF;vascalindo ✠;kk_crvg1;22/11/2020 13:59;Rio de Janeiro, Brasil;0;0;1754;1123;0
@copycxt Tamanduá  bandeira,  ele tá  tentando  subir no sofá  de motoquinha.;꒰Belga꒱ ❝ ♡' 𝙫𝙢𝙞𝙣 ❞ゞ˚;Bunnx_llws;22/11/2020 04:11;cidade de papel;0;0;1391;1137;0
@Phsbrasil @AnnyBa01 @Tio_Dan_Dan @RaquelFantasy @JadrianeRibeiro @galegamineira @mednasoares @ROBSONGlria1 @CChyrlan @Franml1234 @Criscasag06 @TeodoroAdel @ElianeC52649113 @Gigika161 @Cerimonialista8 @38_Rosy_ @apenas_rose @MarliCastanho @_Deia_38 @TatianeFeitos @malugouvea27 @MariaJo68265365 @MonyAlves10 @JanainaCorreaBr @Turandot2020 @Beamarina2 @WanderleiFeliz1 @cidaqueiroz @HenioBottrel @WFogliene @maria_marypsi @MrMartins1511 @Mourasc2022 @cruz_meris @Chris_38JB @NadineCRJ @19OsmarRD @GalanteTanaka @SarahAg60285405 @andinho_wine @RetornoPapai @Danda02994078 @Iseschuler @SouAnjoCaido Tamandua bandeira!;Fábio;Fabiorbcorrea;22/11/2020 03:39;Brasília, Brasil;0;4;2756;2734;0
@CaetanaWithAnA É um tamanduá bandeira? Achei lindo kkkk;sousa com s;felipesousa___;22/11/2020 03:29;Goiânia, Brasil;0;0;262;129;1
TAMANDUA BANDEIRA @Thalisco https://t.co/YKYqnWw0G9;Otáviooooooooooo;otav_pat;22/11/2020 01:39;João Pessoa, Brasil;0;5;579;67;0
@noahccola @cellinkee goce come tamandua bandeira noah?;vito;ddeeuss;22/11/2020 01:35;no cu da tua mae;0;0;1761;487;0
natal chegando, tomare q o bom velhinho me veja um tamanduá bandeira com pneumonia fresquinho e bonito;cellink;cellinkee;22/11/2020 00:12;Maringá, Brasil;4;71;189;2418;-1
@1iversoDiscreto Agora você tem que retribuir com um Pokemon tamanduá bandeira ou algo que só tem aí no Brasil;Sonolencio;sonolencio;21/11/2020 04:07;Toronto;0;2;1528;555;0
@HootyTheHouse tamandua bandeira;let precisa de terapia;LetBoiola;21/11/2020 02:53;sozinha;0;0;442;286;0
"Um tamanduá bandeira num bairro em Anápolis e não foi no meu
Triste. Queria apreciar essa cena (e lugar pro resgate, claro)";Aracy da TopTherm;keocoelhoo;20/11/2020 17:52;Anápolis, Brasil;0;0;1803;557;1
"@UaiRango Várias referências ao dia da bandeira, Manuel Bandeira, Tamanduá Bandeira, a ""bandeira"" no fundo, o Hino a bandeira";Misma;Mismarodrigues;20/11/2020 16:50;Serrana-Sp;0;0;255;159;0
@menaobalada Tudo que ele fez de merda na sua vida vc fez tbm, tamanduá bandeira do caralho;cina;cinathegoat;20/11/2020 15:57;;0;0;640;46;0
@andre_serret Tamandua bandeira;Antonio Carlos;AntonioC4rl0s;20/11/2020 15:54;Blumenau, Brasil;0;0;79;68;0
"SE ELE TEM 16 ANOS, EU SOU UM TAMANDUÁ BANDEIRA - Rocha, Rafael. 
@rafinha_1022 https://t.co/4OL03jVNmW";Mano Du;dudupampolini;20/11/2020 15:00;Belo Horizonte, Brasil;0;2;421;395;0
