Tweet;Creation_date;Name;User;location;retweets;favorites;friends_count;followers_count;Classification
vou comprar arara azul e boto rosa fazer um cabelo bem 💙💜💖;𝑳𝒊𝒗𝒊𝒂 ⚡️|| CONTA NOVA;ttdalivinha_;27/11/2020 23:29;sp zl;0;1;192;429;0
@ttdalivinha_ arara azul ou beija flor;sofiazinha;sofiabobinha;27/11/2020 23:29;;0;1;494;264;0
@ttdalivinha_ Boto rosa ou arara azul;risadinha 🏳‍🌈;Paulino_lulu;27/11/2020 23:28;;0;1;189;22;0
@ttdalivinha_ o da arara azul;ℒ𝒶𝓎𝓁𝒶🍡;laylaaduarte;27/11/2020 23:26;;0;1;435;481;0
"@slexiesheridan Kkkk armaria, assim é triste
A violeta sai em 2 dias comigo 
O q grudou q foram quase 9 dias pra sair foi a  tinta arara azul da kamaleao 
Meu banheiro tá sujo até hoje HUAHAH";Snowball 📖: Vamos Aquecer o Sol;StarClusterClub;27/11/2020 21:43;;0;0;687;686;0
@davitjj_ oc na minha vida;Fláงiค🌻;arara_azul_;27/11/2020 21:30;Minas Gerais, Brasil;0;0;88;61;0
@arara_azul_ que jeito kkkkk que calúnia;cris;karevcris;27/11/2020 21:27;São Simão, Brasil;0;1;292;403;0
@liberato_netoo gatin, man tenho um óculos igual o seu KKKKKK;Fláงiค🌻;arara_azul_;27/11/2020 21:26;Minas Gerais, Brasil;0;1;88;61;0
Ambientalistas alertam para o aumento do número de apreensões de duas espécies símbolos da nossa biodiversidade: a arara-azul-grande e o mico-leão-dourado. Eles apontam para a fragilização dos órgãos ambientais e de fiscalização como possíveis fatores. https://t.co/C8bw4Ol31T;Uma Gota no Oceano;UmaGotaNoOceano;27/11/2020 21:20;Brasil;0;3;1176;10618;-1
"só aqui no catete msm, dois caras na praia com uma arara azul 
????";gi;pnheirogeo;27/11/2020 19:25;;0;1;566;598;-1
Eu até ia escutar a poesia acústica 78 mas tenho q ir traficar arara azul e tamanduá bandeira no centro da cidade🙏🏻;Monnerat;ngeloRivas3;27/11/2020 16:24;Aracaju, Brazil;0;3;387;149;-1
@cynaramenezes Tá parecendo uma arara azul;Latitude 00';ntnbraga;27/11/2020 13:37;Brasil;0;1;495;83;0
@rebelhaechan kkkkkkkkkkk sim cor: arara azul;◡̈;ifmahae;27/11/2020 13:17;ela/dela;0;0;241;222;0
Arara azul , céu lindao segue a sexta🕊;T T E U🕊;Maestro_141;27/11/2020 12:46;PARAÍSO;0;1;707;713;0
"@BateBicoPodcast @desabrace A série “Que Bicho é Esse” é legal demaissssss. Amo todos os episódios, mas os da Harpia e Soldadinho do Araripe me encantaram ainda mais. 
Seria muito massa se convidassem a Neiva Guedes pra falar da Arara Azul";Birdwatcher sem esperanças 𓅪;birder_pistola;27/11/2020 11:29;;1;3;508;337;0
A jade do rio é uma arara azul né?;jade nao do rio;jadetiirllwall;27/11/2020 10:58;rpg acc;0;0;33;28;0
@hazzastyley não é tucano é arara azul;jade nao do rio;jadetiirllwall;27/11/2020 10:57;rpg acc;0;0;33;28;0
"Aqui está uma música para você… Nave de Metal de Arara Azul
https://t.co/tXU3zP69pG";Daniel'' Ferrari;DanielFerrariRS;27/11/2020 05:13;Torres , Rio Grande do Sul;0;0;988;812;0
@marialvl Não vou mais trabalhar com arara-azul 🥺😭;Mariazinha;Mariacysneiros;27/11/2020 02:25;Goiânia, Brasil;0;0;353;551;0
"@smileluaanjo Uma camisa do viva e a caneca da arara azul
BLACK FRIDAY LS SHOP";Maria 🕊️;loamisthebest;27/11/2020 02:00;𝖲𝗁𝖺𝗐𝗇 𝖬𝖾𝗇𝖽𝖾𝗌;0;0;2633;3062;0
@tomlisonbtch EU PENSEI WUE FOSSE UMA ARARA AZUL KKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKKK;Ari²⁸ ◟̽◞̽ || PROUD OF ASHE;lwtkingx91;27/11/2020 00:59;leeds;0;1;4892;7349;0
"""ta parecendo uma arara-azul"" 
melhor que egirl";⁷;owntxx;27/11/2020 00:38;⸙ INTP;0;0;333;423;0
aproveita essa black friday pega uma arara azul e um tamandua bandeira estorei a boa;guga;_guuga;27/11/2020 00:15;zona norte boa sorte;0;0;315;581;-1
@nararmcf Tem muitos zoológicos fazendo um trabalho foda contra a extinção mano,como foi o caso dos filhotes de arara azul que nasceram em incubadoras esses dias atrás.;Carlos Eduardo;Madridbfr;27/11/2020 00:14;;0;0;1418;864;1
"@BTSxSUD @transamericabh @BTS_twt Oii @transamericabh! Queria muito ouvir #LifeGoesOn do grupo @BTS_twt, tocando na sua rádio! Obrigada!

Arara azul";ᴮᴱLia⁷;staygracious1;27/11/2020 00:12;;0;0;405;253;0
"@BTSxSUD @transamericabh @BTS_twt Oii @transamericabh! Queria muito ouvir #LifeGoesOn do grupo @BTS_twt, tocando na sua rádio! Obrigada!

arara azul";BE⁷;pjmvenus_;26/11/2020 23:39;🌱;0;0;223;155;0
"@BTSxSUD @transamericabh @BTS_twt Oii @transamericabh ! Queria muito ouvir #LifeGoesOn do grupo @BTS_twt , tocando na sua rádio! Obrigada!
Arara Azul";Tatychann;Tatychann;26/11/2020 23:38;;0;0;211;33;0
N venham me cancelar quando minha arara azul chegar semana quivem, eu comprei ela de pessoas que maltratavam ela então na lógica eu salvei ela #paz;Pedro;ofPedroH1;26/11/2020 20:38;;0;2;283;139;-1
"CPI do Zoológico no RJ é duramente criticada: ‘Primeira pizza da Câmara RJ pós eleições’, diz vereador https://t.co/xAXwfSdXVZ 
""...mais de 350 animais já haviam morrido...pelo menos 18 haviam sido furtados, incluindo uma Arara Azul, avaliada em até R$ 80 mil"" @MarceloCrivella";Ugo T. Werneck Vianna;VeganFac;26/11/2020 18:06;Rio de Janeiro / RJ - Brasil;1;0;29;32;0
"Força
VOA MLK tentaram te derrubar mas esqueceram que arara azul voa
#FreeVictor https://t.co/hwn3airGnf";Aura Lana;hobililibee;26/11/2020 14:54;;0;1;866;821;0
meu deus apareceu um cara com uma arara azul no ombro do nosso lado eu tô-;maju ✨ o hobbit;hwyparrish;26/11/2020 14:30;⊹ AKIELOS ⊹;0;0;713;590;-1
aproveitar a enquete e comentar que semana passada uma mulher me parou na rua para perguntar qual que era o tom do meu cabelo. falei a cor, o tom (Arara Azul), indiquei a loja onde vendia aqui em Ilhéus;clementine;ctrnab;26/11/2020 14:29;221B Baker Street;0;1;466;473;0
@__batistalucass vc né;Fláงiค🌻;arara_azul_;26/11/2020 14:06;Minas Gerais, Brasil;0;1;88;61;0
No passado, o mercado ilegal desses animais quase levou as espécies à extinção. | Em 2014, a arara-azul foi retirada da Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção. Notícia da @MongabayOrg para @UOL. https://t.co/DGSNWAHsaV;Comissão Pró-Índio;proindio;26/11/2020 14:03;São Paulo, Brasil;4;15;1895;18726;-1
@karevcris não não;Fláงiค🌻;arara_azul_;26/11/2020 13:58;Minas Gerais, Brasil;0;0;88;61;0
menina do interior né https://t.co/aALMCjtCa6;Fláงiค🌻;arara_azul_;26/11/2020 13:57;Minas Gerais, Brasil;0;5;88;61;0
@arara_azul_ aí cê exagerou;cris;karevcris;26/11/2020 13:57;São Simão, Brasil;0;0;292;403;0
@Gp_cordeiro Pretendo o azul. É q esse verde n existe! Ele era o arara azul da kamaleao color que oxidou em cloro de piscina e esverdeou. Ai toda vez q eu retocava azul (que era bem caneta bic), ele retocava em cima da base verde. Por isso ficava tão verde azulado e por isso q desbotava nunca;And hearts in twos~;Red_Queen_x;26/11/2020 11:11;;0;0;294;298;0
"Na última semana uma arara azul tem pousado no topo do prédio, em cima do meu quarto (moro no último andar), e começado um chilique desnecessário. Sempre às 5h19. 

Sim, eu acordo com os gritos, olho o relógio e tá lá, sempre: 5h19. 

Veterinário trata neurose obsessiva?";r.;repasplus;26/11/2020 10:51;;0;8;316;226;0
arara azul o maior papagaio do planeta;lontra negra;junglejms;26/11/2020 03:38;Jaboatão dos Guararapes;0;0;666;2431;1
@Riquelme_13M azul igual uma arara em extinção;ana clara;_anaonc;26/11/2020 03:10;;0;0;471;1153;0
por ex são 2:43, eu acordo as 7h p trabalhar e to aqui desenhando uma arara azul;manoela klein;manoelakleinn;26/11/2020 02:44;;0;1;87;45;1
@ninthgoddess Krlh AKAKAKSKAKAKALA ARARA VERMELHA E ARARA AZUL AKSKSKSKKSSKS;Nard-Shaclonagem.;zBerNN;26/11/2020 02:17;;0;0;335;70;0
@carolzitaaaaah como faz pra ser linda assim??;Fláงiค🌻;arara_azul_;26/11/2020 01:23;Minas Gerais, Brasil;0;0;88;61;0
o Harry quer ser uma arara azul e ninguém nunca falo sobre isso;𝘢𝘯𝘢 .*.✧;lp7wonder;26/11/2020 01:09;1732   ;0;0;630;417;0
Desenhei Algumas espécies de araras 🦜:Ararajuba,Maracanã-Verdadeira,Arara Azul Grande e Arara Canindé https://t.co/fPvwAG5n7N;Raphaelly 😁;RaphaellyLinda;26/11/2020 00:55;Rio de Janeiro, Brasil;0;2;1030;873;0
@luanyavela aiiii mto obrigada de vdd 🥺💗 então, é exatamente isso que eu penso... mas eu acho que não, querendo ou não fica alguma marquinha né? uma vez um colega me contou que uma amiga dele tinha uma arara azul tatuada, ela fez a remoção, a tinta saiu mas ficou o desenho ainda em forma +;🐝 sunrise;floresaocaoss;26/11/2020 00:50;019 - $P;0;1;1555;3635;0
Uma mistura de arara azul com nerd paraense. https://t.co/CuzO3bWTVc;Alê Dias;alexkidrd;26/11/2020 00:28;Boa Vista - RR - BR;0;4;371;952;0
@PimentaCamis Pedro confuso;Fláงiค🌻;arara_azul_;26/11/2020 00:23;Minas Gerais, Brasil;0;1;88;61;0
@AbrahamWeint @felipeneto Acabou com a arara azul ! 🤣🤣🤣🤣🤣🤣🤣;Kita Gouveia Bonoro tia do Zap ! 👊🇧🇷;gouveia_kita;26/11/2020 00:16;;0;0;3299;3116;0
Obrigada Bar Arara Azul pela cerveja gelada, barata, atendimento top e jogo do São Paulo na tv.;Asfalter Carvalho;michelecrvlh;25/11/2020 22:49;Brasil;0;2;517;489;0
@sukiraw1 Compra uma arara azul agora;Rodrigo Queiroz;RQueiroz84;25/11/2020 22:40;Piracicaba, Brasil;0;0;19;2;-1
"@docinhotrevoso_ A cor foi Arara Azul daquela marca que tem o nome de um bicho! Eu acho que errei na descoloração e por isso ficou nessa tonalidade...kkkkkk
Um erro bom!";Tai é ED50☀️;agridoce_87;25/11/2020 22:29;Belém-PA;0;0;564;161;0
"@sukiraw1 toca um samba, junta um canário, uma arara azul e um Bulldog babão e ta feito.
fexta em Ipanema meu amor.";felipe;lf_oliveirask8;25/11/2020 22:27;Itaipuaçu, Maricá, Brasil;0;2;191;136;0
@mb_ribeiro_ vai se fude arara azul;montaninowwª;montaninooo;25/11/2020 22:04;;0;0;234;327;-1
Se duvidar ate a arara azul faz um um estrago na águia careca;pequeno agricultor gótico;ulrich_mo;25/11/2020 21:37;depende do dia ;1;3;156;114;0
"@roseworsth e aqui que quase entrou uma arara azul
menina que susto eu tomei,só não entrou por causa da grade";mariana;juliansbcker;25/11/2020 21:13;she/her;0;0;470;2185;-1
Sonho em ter uma arara azul mano;Zoe · Ordem Paranormal;oKA0SER;25/11/2020 21:12;;0;0;693;696;1
eu vi uma arara azul????? 🤔;bia🍰 junnie day 🎉;kyunstellarr;25/11/2020 21:06;       𝖼𝗋𝖺𝙫. ⌗ ᨒ tre𝗮. 𓂃;0;1;7386;7524;0
eu tô chorando pq eu quero uma arara azul;yass;YassMaciiel234;25/11/2020 21:06;Sumaré, Brasil;0;0;281;265;1
“A glock é igual uma arara azul montando num mico leão dourado” - bt;Lucas Itoh;LucasG_Itoh;25/11/2020 20:13;;0;1;164;53;0
Vou começar a caçar arara azul botar na minha casa e falar que ela apareceu do nada, aí apareço na globo tbm https://t.co/4yYSJprt91;Lucas;LucasAzedi_nho;25/11/2020 18:04;pra quer saber?;0;0;119;143;-1
@BrunoNoobaREAL @aloguinness @sukiraw1 Obrigado quase arranquei o bico da minha arara azul vinda do mercado negro;🍁 Kiodry;KIODRY2;25/11/2020 16:46;;0;10;277;35;-1
@dahsan1942 azul, né? dia 23 te prepara q tu vai ver uma arara azul em cima de ti https://t.co/UuKql9AK3L;dudu ai meu dudu;b7anch1;25/11/2020 15:38;São Luís, Brasil;0;1;192;235;0
"Charlie, a arara azul de 121 anos de Winston Churchill que odeia nazistas, continua xingando ""malditos nazistas!"" e “maldito Hitler!” até hoje, mesmo após 55 anos da morte de seu dono! https://t.co/QGLVjheaAB";Mega Curioso;MegaCurioso;25/11/2020 13:05;São Paulo, Brasil;10;104;3;60176;1
@ItaloTrinchao OLHA ELA AÍ DI'NOVO,A ARARA AZUL, A NVA MASCOTE DO TRICOLOR DE AÇO E DE DOUGLAS. BOM DIAAAA;Antonio José de Almeida Silva;AntonioJosdeAl3;25/11/2020 12:21;;0;3;51;11;0
@sukiraw1 eu deveria ter tirado foto da arara azul enquanto podia;leth;lethyuki;25/11/2020 11:45;;0;0;172;141;1
@artkbanks @sickofme__ vc urubu pernilongo jaguatirica onça golfinho baiacu arara azul pombo galo carijo;ؘn.;todvoroki;25/11/2020 07:09;         ⍝﹟ / 夜卜 !  ˒   京治 ;0;0;3589;9631;0
aliás Fergie e Coldplay qndo tiveram no rock in rio também perfomaram muito melhor {a fergie até uma ARARA AZUL meteu no palco qndo veio};wildcat capixaba 🐾🎓;heitorbaia;25/11/2020 06:32;027;0;0;1165;362;-1
vê se ele começa a cantar que coisa mais linda pra mulher dele enquanto tem 2 arara azul encarando ele https://t.co/nM1V5KhqTv;Fiore e piadas;Fiorehamster;25/11/2020 04:24;ele/dele;1;3;283;177;0
@sukiraw1 Coloca um samba pra ele dançar, vai q chega 2 arara azul também Ai;Miranda;MirandaIpase;25/11/2020 03:59;Cuiabá, Brasil;0;0;366;97;0
esse ai não é aql do filme da arara azul? https://t.co/WXIxz01nBW;nalí;jbcrowded;25/11/2020 03:42;carey 1993;0;0;598;215;0
@ECBahia Minha Arara Azul;mão na cabeça e rala;siricondaTV;25/11/2020 01:46;Salvador, Brasil;0;0;75;77;0
@folhazdeoutono @akavianna_ Vou ser pique arara azul, a mais bela;thamyrinha;grenadefire_;25/11/2020 01:24;RJ/ZO;0;0;458;560;0
@Juu1908 Nada de júia, teu apelido é arara azul;Allanzinho🥵;ALL7NZIN;25/11/2020 01:21;Curitiba;0;0;740;745;0
A- A gnt era muito proxima ano passado por causa do arara azul e tal eu sinto muita falta de falar cntg te amo dimaais;tina🏳️‍🌈;valentininhal;25/11/2020 00:33;Santa Maria, Brasil;0;1;432;404;0
@isabelasoaresl_ O ataque da arara azul fez efeito;Fonsin 28/45;DiasAffonso;24/11/2020 22:58;Salvador, Bahia, Brasil;0;1;425;1655;0
vou assistir filminho de arara azul cantante pra ganhar serotonina;efeF;fevhyc;24/11/2020 22:31;Brasília, Brasil;0;0;394;165;0
@jvnunes_ @OAlterIgor Minha arara azul também pediu!;Matheus Costa;sayithenriques;24/11/2020 22:25;Rio de Janeiro, Brasil;0;1;237;84;0
Green Friday da Simple Organic traz campanha de consumo com impacto positivo e apoio ao Instituto Arara Azul https://t.co/bcMwlR51Zk https://t.co/bJxeRCly3V;Mapa das Franquias;mapafranquias;24/11/2020 22:20;;0;0;126;368;1
Ou eu to feliz de mais ou essa praça no fim de tarde realmente parece um paraíso... tem arara azul e os krlh;Eu vim de lá;Bouanoitte;24/11/2020 20:57;Goiânia, Brasil;0;4;465;76;1
fui comprar pirulito aq perto aí do nada saiu uma arara amarela e azul do tamanho de um cachorro da casa da mulher e ainda tava gritando, mermao que medo namoral nunca corri tanto;gabi;deusadogado;24/11/2020 20:41;;0;0;598;451;-1
"Eu fico indignado com essas pessoas de outros países que já foram em mais lugares aq no Brasil doq eu, eu puto! Aff eu penso ""tomara q  vc seja bicado por uma arara azul seu bosta""";Nascido da Tormenta;israeelfreitas;24/11/2020 19:22;Vinhedo, Brasil;0;0;136;118;-1
o aluno que entra no ensino médio achando que vai aprender sobre arara azul, onça pintada e na verdade aprende sobre aminoácidos e vacúolos;Igo;igrPadua;24/11/2020 18:34;Três Pontas;0;0;500;351;0
Blu (Jesse Eisenberg) é uma arara azul que nasceu no Rio de Janeiro mas, capturada na floresta, foi parar na fria Minnesota, nos Estados Unidos. Lá é criada por Linda (Leslie Mann), com quem tem um forte laço afetivo. Um dia, Túlio (Rodrigo Santoro) entra na vida de ambos.;Rio de Janeiro 🇧🇷 · #Paisverso;RioDoPV;24/11/2020 16:47;;0;0;128;109;0
@sardinhes Muito bonita sua iniciativa contra a extinção da arara azul;joao quebra toco;bachegola;24/11/2020 14:58;Londrina, Brasil;0;2;258;197;1
"Três filhotes de arara-azul, espécie ameaçada de extinção, nasceram no Zooparque de Itatiba (SP) por incubação artificial. É a primeira vez que a espécie se reproduz no local.

Uma notícia boa! ❤️

https://t.co/ffU4gEdN4L";Quebrando o Tabu;QuebrandoOTabu;24/11/2020 14:30;;92;1992;319;2548591;1
@rainbyuI Desenha uma arara azul;ᨦ vih ദ;byulartic;24/11/2020 12:19;she/her ;0;0;2068;1919;0
Arara azul eh a coisa mai fofa do mundo nho nho https://t.co/jwsXAgzxxP;𝕷𝖎𝖕𝖊 📚 ✨;filpemmtus;24/11/2020 11:30;;0;0;737;562;1
#AjudaPantanal Em meio à devastação provocada pelas #queimadas no #Pantanal, espécies sobreviventes, como a arara-azul, agora precisam encontrar abrigo e alimento, além de escapar da predação. Apoie nosso trabalho em defensa da vida no Pantanal: https://t.co/aoIrLsa9J9 p https://t.co/MTufLpHPRf;WWF-Brasil;WWF_Brasil;24/11/2020 11:27;Brazil;20;72;597;461151;1
"@W0NIELIST nome: ranny
gênero: fluído
sexualidade: pan
altura: 1,67
signo: capricornio
de onde é: pe
cor de cabelo: castanho
animal fav: arara azul, baleia, gato e coelho mas gosto de mais um bocado 
dia ou noite: noite!";honey;hoonpoetry;24/11/2020 05:22;개와 늑대의 그 시간엔 마법 속에 갇히고파 Blue hour! 너는 나만의 special 하나뿐인 내 special 꿈의 문이 열리고 추억 속 넌 현실로.;0;1;376;286;0
@GeracaoNintendo @LuigiOne12 É a Arara Azul do fime Rio?;Mr. Ketch;Mr_Ketch_;24/11/2020 02:48;Alone...?;0;5;417;302;0
@do_bahea @kmuniz30 @ECBahia Prefiro a Arara azul de Aço. Superman é muito americanizado.;Comento nos comentários alheios;Lincos_Rocha;24/11/2020 02:34;Pôrto Seguro - BA;0;1;170;23;0
"@ECBahia O mascote do Bahia é americanizado. Mas bem que podia ser um nacional ""Arara Azul de aço.""";Comento nos comentários alheios;Lincos_Rocha;24/11/2020 02:33;Pôrto Seguro - BA;0;1;170;23;0
Como comprar arara azul sem pagar imposto?;Heitoryoutube18;Heitoryoutube;24/11/2020 02:33;No cu do meu tio;0;0;94;30;-1
@oocbrazil Foda que ela é uma arara azul e eu sou só um pombo tlg;André Barbosa;AndreBarbosaFr;24/11/2020 00:03;eu tbm estou tentando me achar;0;1;100;21;0
